date,open,close,high,low,amount
2023-09-28,531.96,532.22,534.51,529.17,113465.0
2023-10-09,532.22,536.28,539.59,532.22,131422.0
2023-10-10,537.3,532.22,537.3,522.81,163514.0
2023-10-11,531.96,530.95,534.76,529.68,138353.0
2023-10-12,535.27,541.88,543.4,531.46,176854.0
2023-10-13,541.88,536.54,542.64,534.25,127171.0
2023-10-16,538.06,539.08,545.69,536.03,186991.0
2023-10-17,541.37,542.64,544.42,537.3,191329.0
2023-10-18,541.62,546.96,548.99,539.59,214160.0
2023-10-19,544.93,535.27,544.93,534.0,197698.0
2023-10-20,537.3,532.98,538.06,530.18,109186.0
2023-10-23,532.98,531.71,539.08,528.91,102396.0
2023-10-24,528.41,522.05,530.95,520.78,184886.0
2023-10-25,524.09,530.44,535.01,523.83,174666.0
2023-10-26,529.17,541.88,542.13,527.9,168178.0
2023-10-27,547.72,551.79,560.68,547.21,395669.0
2023-10-30,548.23,544.42,551.53,538.57,237742.0
2023-10-31,544.16,542.64,545.94,539.59,167926.0
2023-11-01,543.4,538.06,543.91,534.51,137284.0
2023-11-02,539.84,544.42,547.47,537.3,116034.0
2023-11-03,543.4,541.11,548.48,540.6,106331.0
2023-11-06,541.11,534.0,544.93,532.22,221377.0
2023-11-07,533.49,522.81,533.49,519.0,324199.0
2023-11-08,523.07,518.49,523.58,510.11,380704.0
2023-11-09,515.7,510.62,517.48,510.36,237537.0
2023-11-10,515.95,513.16,516.46,510.11,174257.0
2023-11-13,513.16,512.39,514.94,510.87,118208.0
2023-11-14,512.39,516.46,518.75,511.63,168994.0
2023-11-15,519.26,527.13,528.66,518.24,269013.0
2023-11-16,527.64,521.8,527.9,521.54,119370.0
2023-11-17,518.75,524.85,527.39,518.75,147581.0
2023-11-20,525.61,530.44,531.2,523.58,155030.0
2023-11-21,530.44,523.58,533.49,523.07,136677.0
2023-11-22,523.83,523.07,525.1,521.54,132138.0
2023-11-23,522.31,526.37,527.13,521.04,91404.0
2023-11-24,525.86,524.34,526.88,521.8,102200.0
2023-11-27,526.37,528.15,529.42,523.83,139331.0
2023-11-28,526.37,533.23,534.51,525.61,159109.0
2023-11-29,534.25,535.52,539.33,531.71,142146.0
2023-11-30,535.52,538.06,538.06,532.73,105258.0
2023-12-01,539.33,532.73,539.33,529.17,118200.0
2023-12-04,533.74,533.49,536.28,531.46,109671.0
2023-12-05,534.0,532.22,540.35,531.46,205695.0
2023-12-06,532.73,534.25,535.27,529.93,150683.0
2023-12-07,533.74,531.96,539.08,529.68,116102.0
2023-12-08,530.69,532.73,534.25,528.91,141059.0
2023-12-11,531.46,534.0,534.51,527.13,116588.0
2023-12-12,534.0,540.35,541.11,531.96,131266.0
2023-12-13,540.1,540.35,543.4,538.06,95273.0
2023-12-14,541.37,540.35,542.89,539.08,86898.0
2023-12-15,540.6,532.98,541.11,531.96,99017.0
2023-12-18,532.73,531.2,535.01,529.68,55915.0
2023-12-19,530.95,532.73,534.0,528.41,64707.0
2023-12-20,531.46,526.63,532.98,526.63,70828.0
2023-12-21,525.1,524.59,526.37,521.04,67537.0
2023-12-22,524.34,524.34,528.66,523.07,75206.0
2023-12-25,524.34,525.61,528.66,522.81,54789.0
2023-12-26,525.86,527.39,527.9,523.07,68313.0
2023-12-27,525.1,527.39,533.74,524.34,94912.0
2023-12-28,528.91,524.09,529.42,516.71,210050.0
2023-12-29,525.1,532.73,533.74,523.58,171531.0
2024-01-02,531.71,535.78,539.59,530.44,160653.0
2024-01-03,538.83,545.94,550.77,535.52,333583.0
2024-01-04,545.94,538.57,547.47,537.05,163248.0
2024-01-05,540.35,535.01,540.35,532.47,148957.0
2024-01-08,552.04,568.81,568.81,552.04,597189.0
2024-01-09,568.81,572.63,578.98,563.73,546801.0
2024-01-10,575.93,588.64,595.75,572.37,464235.0
2024-01-11,593.72,594.48,596.01,586.35,355774.0
2024-01-12,595.75,586.1,597.79,585.08,259550.0
2024-01-15,581.78,590.42,591.94,579.74,237039.0
